reinsurer,authorization_category,authorization_status,state,jurisdiction,years,lines,source_section,notes
Axis Specialty Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026","P&C, A&H",Reciprocal Jurisdiction Reinsurers table,
Brit Reinsurance (Bermuda) Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Canopius Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Cavello Bay Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Chubb European Group SE,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,France,"2022, 2023, 2024, 2025, 2026","P&C, A&H",Reciprocal Jurisdiction Reinsurers table,
Chubb Tempest Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026","Life, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Conduit Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Convex Insurance UK Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,United Kingdom,"2022, 2023, 2024, 2025, 2026","P&C, A&H",Reciprocal Jurisdiction Reinsurers table,
Convex Re Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
DaVinci Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Devk Ruckversicherungs-Und Beteiligungs-AG - Devk Re,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Germany,"2023, 2024, 2025, 2026","Life, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Endurance Specialty Insurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
"Everest Reinsurance (Bermuda), Ltd.",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Fidelis Insurance Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Fidelis Underwriting Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,United Kingdom,"2023, 2024, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Fortitude Reinsurance Co. Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Group Ark Insurance Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
"Hamilton Re, Ltd.",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Hannover Life Reassurance Company of America (Bermuda) Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2025, 2026","Life, Annuities, A&H",Reciprocal Jurisdiction Reinsurers table,
Hannover Re (Bermuda),Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Hannover Re (Ireland) DAC,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Ireland,"2023, 2024, 2025, 2026","Life, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Hannover Ruck SE,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Germany,"2023, 2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Hiscox Insurance Company (Bermuda) Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Lancashire Insurance Company Ltd,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Liberty Mutual Insurance Europe SE,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Luxembourg,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Liberty Specialty Markets Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Lumen Re Ltd,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
"Mapfre Re, Compania de Reaseguros, S.A.",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Spain,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
MS Amlin AG,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Switzerland,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Münchener Rückversicherung-Gesellschaft Aktiengesellschaft in München (Munich Re),Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Germany,"2023, 2024, 2025, 2026","Life, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Partner Reinsurance Company Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Partner Reinsurance Europe SE,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Ireland,"2022, 2023, 2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
QBE Capital Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Renaissance Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
RenaissanceRe Europe AG,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Switzerland,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
RenaissanceRe Specialty U.S. Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Siriuspoint International Insurance Corporation,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Sweden,"2025, 2026","Life, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Somers Re Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Somerset Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2023, 2025, 2026","Life, Annuities, A&H",Reciprocal Jurisdiction Reinsurers table,
Swiss Reinsurance Company Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Switzerland,"2023, 2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
"Tokio Marine & Nichido Fire Insurance Co., Ltd.",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Japan,"2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
TransRe Europe S.A.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Luxembourg,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
TransRe London Limited,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,United Kingdom,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
"Underwriters at Lloyd's, London",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,United Kingdom,"2022, 2023, 2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
Vermeer Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2022, 2023, 2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
"VIG Re zajišťovna, a.s.",Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Czech Republic,"2024, 2025, 2026","Life, Annuities, A&H, P&C",Reciprocal Jurisdiction Reinsurers table,
XL Bermuda Ltd.,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Bermuda,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
XL Re Europe SE,Reciprocal Jurisdiction Reinsurer,Listed for 2026,Florida,Ireland,"2024, 2025, 2026",P&C,Reciprocal Jurisdiction Reinsurers table,
Arch Reinsurance Ltd.,Certified Reinsurer,Secure-3,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3194126
Chubb European Group SE,Certified Reinsurer,Secure-2,Georgia,France,"January 1, 2025 to December 31, 2025","Life, Health, Property, Casualty",Certifications for 2025,ID A-1320125
Endurance Specialty Insurance Ltd.,Certified Reinsurer,Secure-3,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3194130
Fidelis Insurance Bermuda Limited,Certified Reinsurer,Secure-4,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3191289
Fidelis Underwriting Limited,Certified Reinsurer,Secure-4,Georgia,United Kingdom,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-1120175
Hannover Ruck SE (Hannover Re),Certified Reinsurer,Secure-2,Georgia,Germany,"January 1, 2025 to December 31, 2025","Life, Annuities, Accident/Health, Property/Casualty",Certifications for 2025,ID AA-1340125
"Hiscox Insurance Company (Bermuda), Ltd.",Certified Reinsurer,Secure-3,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3190875
"Münchener Rückversicherungs- Gesellshaft in München (""Munich Re"")",Certified Reinsurer,Secure-2,Georgia,Germany,"January 1, 2025 to December 31, 2025","Life, Annuities, Accident/Health, Property/Casualty",Certifications for 2025,ID AA-1340165
RenaissanceRe Europe AG (f/k/a Tokio Millennium Re AG),Certified Reinsurer,Secure-3,Georgia,Switzerland,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-1460023
Somers Re Ltd. Fka Watford Re Ltd,Certified Reinsurer,Secure-4,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3191250
Swiss Reinsurance Company Ltd.,Certified Reinsurer,Secure-2,Georgia,Switzerland,"January 1, 2025 to December 31, 2025","Life, Annuities, Accident/Health",Certifications for 2025,ID AA-1460146
TransRe London Limited,Certified Reinsurer,Secure-2,Georgia,United Kingdom,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-1120159
"XL Bermuda, Ltd.",Certified Reinsurer,Secure-2,Georgia,Bermuda,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-3191315
XL Re Europe SE,Certified Reinsurer,Secure-2,Georgia,Ireland,"January 1, 2025 to December 31, 2025",Property/Casualty,Certifications for 2025,ID AA-1780072
"Arch Reinsurance Ltd, Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 1/1/2019,,List of approved Certified Reinsurers,
Cavello Bay Reinsurance Ltd,Certified Reinsurer,Secure-3,Texas,,Effective 7/7/2025,,List of approved Certified Reinsurers,
"Chubb European Group SE, Courbevoie, France",Certified Reinsurer,Secure-2,Texas,,Effective 2/10/2021,,List of approved Certified Reinsurers,
"Chubb Tempest Reinsurance Ltd, Hamilton, Bermuda",Certified Reinsurer,Secure-2,Texas,,Effective 8/6/2019,,List of approved Certified Reinsurers,
"DaVinci Reinsurance Ltd., Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 01/01/2026,,List of approved Certified Reinsurers,
"Endurance Specialty Insurance Ltd, Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 7/10/2019,,List of approved Certified Reinsurers,
"Fidelis Insurance Bermuda Limited, Pembroke, Bermuda",Certified Reinsurer,Secure-4,Texas,,Effective 12/07/2021,,List of approved Certified Reinsurers,
"Fidelis Underwriting Limited, London, England",Certified Reinsurer,Secure-4,Texas,,Effective 12/07/2021,,List of approved Certified Reinsurers,
"Hamilton Re, Ltd,, Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 11/18/2020,,List of approved Certified Reinsurers,
"Hannover Life Reassurance Company of America (Bermuda) Ltd., Hamilton, Bermuda",Certified Reinsurer,Secure-2,Texas,,Effective 11/20/2018,,List of approved Certified Reinsurers,
"Hannover Ruck SE, Hannover, Germany",Certified Reinsurer,Secure-2,Texas,,Effective 11/20/2018,,List of approved Certified Reinsurers,
"MS Amlin AG, Zurich, Switzerland",Certified Reinsurer,Secure-3,Texas,,Effective 3/8/2022,,List of approved Certified Reinsurers,
"New Reinsurance Company Ltd, Zurich, Switzerland",Certified Reinsurer,Secure-2,Texas,,Effective 4/4/2019,,List of approved Certified Reinsurers,
"Partner Reinsurance Company Limited, Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 8/18/2019,,List of approved Certified Reinsurers,
"Partner Reinsurance Europe SE, Dublin, Ireland",Certified Reinsurer,Secure-3,Texas,,Effective 2/25/2020,,List of approved Certified Reinsurers,
"Renaissance Reinsurance Ltd., Pembroke, Bermuda",Certified Reinsurer,Secure-3,Texas,,Effective 11/12/2019,,List of approved Certified Reinsurers,
"Somers Re Ltd., Pembroke, Bermuda",Certified Reinsurer,Secure-4,Texas,,Effective 1/09/2020,,List of approved Certified Reinsurers,
"Somerset Reinsurance Ltd., Pembroke, Bermuda",Certified Reinsurer,Secure-5,Texas,,Effective 1/9/2020,,List of approved Certified Reinsurers,
"Swiss Reinsurance Company Ltd, Zurich, Switzerland",Certified Reinsurer,Secure-2,Texas,,Effective 7/28/2020,,List of approved Certified Reinsurers,
"TransRe London Limited, London, England",Certified Reinsurer,Secure-2,Texas,,Effective 10/16/2019,,List of approved Certified Reinsurers,
"Wilton Reinsurance Bermuda Limited, Hamilton, Bermuda",Certified Reinsurer,Secure-4,Texas,,Effective 6/10/2019,,List of approved Certified Reinsurers,
"XL Bermuda Ltd, Hamilton, Bermuda",Certified Reinsurer,Secure-2,Texas,,Effective 1/1/2019,,List of approved Certified Reinsurers,
XL Re Europe SE,Certified Reinsurer,Secure-2,Texas,,Effective 1/17/2023,,List of approved Certified Reinsurers,
"AmTrust International Insurance, Ltd",Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 05/08/2025,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Delaware
Arch Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 11/17/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Missouri
Ascot Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 10/27/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Aspen Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/7/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
Aspida Life Re Ltd,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 10/28/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Michigan
Athene Annuity Re Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 01/01/2026,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Iowa
Athene Life Re Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 01/01/2026,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Iowa
Aviva Insurance Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 9/28/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
AXA XL Reinsurance Ltd,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 11/20/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
AXIS Specialty Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/18/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Missouri
Brit Reinsurance (Bermuda) Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 5/7/2025,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Canopius Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 11/26/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Cavello Bay Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 7/8/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
Chubb European Group SE,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 3/08/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Pennsylvania
Chubb Tempest Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/17/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Pennsylvania
Conduit Reinsurance Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 2/16/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Louisiana
Convex Insurance UK Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/1/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: California
Convex Re Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/1/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: California
"Corebridge Insurance Company of Bermuda, Ltd",Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/26/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
DaVinci Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 2/28/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Maryland
DEVK Ruckversicherungs- und Beteiligungs-AG-DEVK RE,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 9/21/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Endurance Specialty Insurance Ltd,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 03/13/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
"Everest Reinsurance (Bermuda), Ltd.",Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/08/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Delaware
Fidelis Insurance Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/30/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Fidelis Underwriting Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/18/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Fortitude International Reinsurance Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/20/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
Fortitude Reinsurance Company Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/1/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
Freestone Re Ltd,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 5/16/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Texas
General Reinsurance AG,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 01/07/2026,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Connecticut
Group Ark Insurance Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 10/27/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Delaware
"Hamilton Re, Ltd",Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/8/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Delaware
Hannover Life Reassurance Company of America (Bermuda),Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 2/13/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Florida
Hannover Re (Bermuda) Ltd,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 8/08/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Hannover Re (Ireland) DAC,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/18/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Hannover Ruck SE,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/24/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Helvetia Swiss Insurance Company LTD,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 10/27/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Hiscox Insurance Company (Bermuda) Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 10/27/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Lancashire Insurance Company Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/7/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Liberty Mutual Insurance Europe SE,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/02/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Massachusetts
Liberty Specialty Markets Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 03/25/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Massachusetts
Lumen Re Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 9/14/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
"MAPFRE RE, Compania de Reaseguros, S.A.",Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/26/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Markel Bermuda Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 03/19/2026,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Markel International Insurance Company Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 03/16/2026,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
Mitsui Sumitomo Insurance Company Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 3/08/2024,,List of Reciprocal Jurisdiction Reinsurers,Lead State: New York
MS Amlin AG,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/24/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Colorado
Munchener Ruckversicherungs- Gesellschaft Aktiengesellschaft,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 1/18/2023,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Georgia
New Reinsurance Company Ltd.,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 6/9/2022,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Maryland
Pacific Life Re Global Limited,Reciprocal Jurisdiction Reinsurer,Listed,Texas,,Effective 2/20/2025,,List of Reciprocal Jurisdiction Reinsurers,Lead State: Nebraska
