state,site,certified_link,rjr_link
Alabama,https://www.aldoi.gov,https://aldoi.gov/PDF/Companies/CertifiedReinsurersList.pdf,https://aldoi.gov/PDF/Companies/RJRList.pdf
Alaska,https://www.commerce.alaska.gov/web/ins/,https://www.commerce.alaska.gov/web/Portals/11/pub/CertifiedReinsurerAdmissionInstructions.pdf,https://www.commerce.alaska.gov/web/Portals/11/pub/ReciprocalJurisdictionReinsurer.pdf
Arizona,https://difi.az.gov/insurance,https://difi.az.gov/sites/default/files/Reinsurer%20E-CR-INFO%20Info%2020240729.pdf,https://difi.az.gov/sites/default/files/Reinsurer%20E-CR-INFO%20Info%2020240729.pdf
Arkansas,https://insurance.arkansas.gov/,https://insurance.arkansas.gov/industry-regulation/solvency-regulation/certified-reinsurer/,https://insurance.arkansas.gov/industry-regulation/solvency-regulation/reciprocal-jurisdiction-reinsurer/
California,https://www.insurance.ca.gov/,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0200-bulletins/index.cfm,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0200-bulletins/index.cfm
Colorado,https://doi.colorado.gov/,https://doi.colorado.gov/sites/doi/files/documents/ColoradoListOf2026CertifiedReinsurers.pdf,https://doi.colorado.gov/types-of-insurance/health-insurance/health-insurance-initiatives/reinsurance-program
Connecticut,https://portal.ct.gov/cid,https://portal.ct.gov/cid/insurance-industry-information,https://portal.ct.gov/cid/insurance-industry-information
Delaware,https://insurance.delaware.gov/,https://insurance.delaware.gov/wp-content/uploads/sites/15/2024/08/Uniform-Application-Checklist-for-Certified-Reinsurer.pdf,https://insurance.delaware.gov/divisions/berg/certifiedreinsurance/
Florida,https://www.myfloridacfo.com/division/insurance,https://floir.gov/resources-and-reports/certified-reinsurers,https://floir.gov/resources-and-reports/certified-reinsurers
Georgia,https://oci.georgia.gov/,https://oci.georgia.gov/regulatory-filings/company-licensing-renewals/certified-reinsurers,https://oci.georgia.gov/regulatory-filings/company-licensing-renewals/reciprocal-jurisdiction-reinsurer
Hawaii,https://cca.hawaii.gov/ins/,https://cca.hawaii.gov/wp-content/uploads/2026/01/certified_reinsurers-Uniform-App-Cklist.pdf,https://cca.hawaii.gov/wp-content/uploads/2026/01/Uniform-Checklist-for-Reciprocal-Reinsurers.pdf
Idaho,https://www.doi.idaho.gov/,https://doi.idaho.gov/industry/company-admissions-ucaas/,https://doi.idaho.gov/information/public/insurer-data/
Illinois,https://insurance.illinois.gov/,https://idoi.illinois.gov/content/dam/soi/en/web/insurance/companies/documents/certified-reinsurer-list-for-year-end-2025-as-of-2025-07-17%20.pdf,https://idoi.illinois.gov/companies/reinsurers.html
Indiana,https://www.in.gov/idoi/,https://www.in.gov/idoi/companyentity-financial-compliance,https://www.in.gov/idoi/companyentity-financial-compliance
Iowa,https://iid.iowa.gov/,https://iid.iowa.gov/list-certified-reinsurers,https://iid.iowa.gov/list-reciprocal-jurisdiction-reinsurers
Kansas,https://insurance.kansas.gov/,https://www.insurance.kansas.gov/companies/reinsurance,https://www.insurance.kansas.gov/companies/reinsurance
Kentucky,https://insurance.ky.gov/,https://insurance.ky.gov/ppc/newstatic_Info.aspx?static_ID=648,https://insurance.ky.gov/ppc/newstatic_Info.aspx?static_ID=648
Louisiana,https://www.ldi.la.gov/,https://www.ldi.la.gov/industry/company-licensing/certified-reinsurers,https://www.ldi.la.gov/industry/company-licensing/reciprocal-jurisdiction-reinsurers
Maine,https://www.maine.gov/pfr/insurance/,https://www.maine.gov/sos/rulemaking/agency-rules/department-professional-and-financial-regulation-rules#031,https://www.maine.gov/sos/rulemaking/agency-rules/department-professional-and-financial-regulation-rules#031
Maryland,https://insurance.maryland.gov/,https://insurance.maryland.gov/Insurer/Pages/default.aspx,https://insurance.maryland.gov/Insurer/Pages/InsurerLicensing.aspx
Massachusetts,https://www.mass.gov/orgs/division-of-insurance,https://www.mass.gov/info-details/insurer-licensing-certified-reinsurers,https://www.mass.gov/info-details/current-list-of-reciprocal-jurisdiction-reinsurers
Michigan,https://www.michigan.gov/difs,https://www.michigan.gov/difs/industry/insurance/certified-reinsurers/certified-reinsurers,https://www.michigan.gov/difs/industry/insurance/whats-new/reciprocal-jurisdiction-reinsurers
Minnesota,https://mn.gov/commerce/insurance/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
Mississippi,https://www.mid.ms.gov/,https://www.mid.ms.gov/mississippi-insurance-department/companies/company-filing-and-registration/,https://www.mid.ms.gov/mississippi-insurance-department/companies/company-filing-and-registration/
Missouri,https://insurance.mo.gov/,https://insurance.mo.gov/company-changes,https://insurance.mo.gov/company-changes
Montana,https://csimt.gov/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
Nebraska,https://doi.nebraska.gov/,https://doi.nebraska.gov/insurers/life-and-health,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
Nevada,https://doi.nv.gov/,https://doi.nv.gov/Insurers/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
New Hampshire,https://www.nh.gov/insurance/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
New Jersey,https://www.state.nj.us/dobi/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
New Mexico,https://www.osi.state.nm.us/,https://www.osi.state.nm.us/en/insurance-professionals/company-licensing/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
New York,https://www.dfs.ny.gov/,https://www.dfs.ny.gov/system/files/documents/2026/01/Schedule_F_2025.pdf,https://www.dfs.ny.gov/apps_and_licensing/insurance_companies/reciprocal_jurisdiction_reinsurer_information/
North Carolina,https://www.ncdoi.gov/,https://www.ncdoi.gov/licensees/company-licensing-and-registration/certified-reinsurers,https://www.ncdoi.gov/licensees/company-licensing-and-registration/reciprocal-jurisdiction-reinsurers
North Dakota,https://www.insurance.nd.gov/,https://www.insurance.nd.gov/companies/company-licensing/certified-reinsurers,https://www.insurance.nd.gov/companies/company-licensing/reciprocal-jurisdiction-reinsurers
Ohio,https://insurance.ohio.gov/,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
Oklahoma,https://www.oid.ok.gov/,https://www.oid.ok.gov/regulated-entities/financial/,https://www.oid.ok.gov/regulated-entities/certified-reinsurers/
Oregon,https://dfr.oregon.gov/,https://dfr.oregon.gov/business/licensing/financial/Pages/index.aspx,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
Pennsylvania,https://www.insurance.pa.gov/,https://www.pa.gov/agencies/insurance/resources/company-resources/certified-reinsurers-listing,https://www.pa.gov/agencies/insurance/resources/company-resources/reciprocal-jurisdiction-reinsurers-listing
Rhode Island,https://dbr.ri.gov/divisions/insurance/,https://content.naic.org/cmte_e_reinsurance_certified_reciprocal_reinsurers.htm,https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
South Carolina,https://doi.sc.gov/,https://doi.sc.gov/927/Credit-for-Reinsurance,https://doi.sc.gov/927/Credit-for-Reinsurance
South Dakota,https://dlr.sd.gov/insurance/,https://dlr.sd.gov/insurance/companies/filings_forms.aspx,https://dlr.sd.gov/insurance/companies/filings_forms.aspx
Tennessee,https://www.tn.gov/commerce/insurance.html,https://www.tn.gov/commerce/insurance/consumer-resources/reinsurers-jurisdictions.html,https://www.tn.gov/commerce/insurance/consumer-resources/reinsurers-jurisdictions.html
Texas,https://www.tdi.texas.gov/,https://www.tdi.texas.gov/insurer/reinsurer.html,https://www.tdi.texas.gov/insurer/index.html
Utah,https://insurance.utah.gov/,https://insurance.utah.gov/wp-content/uploads/RenewalChecklist-CertifiedReinsurer.pdf,https://insurance.utah.gov/wp-content/uploads/RenewalChecklist-ReciprocalJurisdictionReinsurer.pdf
Vermont,https://dfr.vermont.gov/,https://dfr.vermont.gov/industry/insurance/company-licensing/how-apply,https://dfr.vermont.gov/industry/insurance/company-licensing/how-apply
Virginia,https://scc.virginia.gov/pages/Bureau-of-Insurance,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-company-financial-reporting/appr_crs.pdf,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-company-financial-reporting/va-list-appr-recip-jurisd-reinsr.pdf
Washington,https://www.insurance.wa.gov/,https://www.insurance.wa.gov/insurers-regulated-entities/company-registration-and-renewal,https://www.insurance.wa.gov/insurers-regulated-entities/company-registration-and-renewal
West Virginia,https://www.wvinsurance.gov/,https://www.wvinsurance.gov/company,https://www.wvinsurance.gov/company
Wisconsin,https://oci.wi.gov/,https://oci.wi.gov/Pages/Companies/CertifiedReinsurers.aspx,https://oci.wi.gov/Pages/Companies/ReciprocalJurisdictionReinsurers.aspx
Wyoming,https://doi.wyo.gov/,https://doi.wyo.gov/companies/certified-reinsurers,https://doi.wyo.gov/companies/reciprocal-reinsurers
